design	test	result	detail
deregister	unload_reload	PASS	before=EXEC, after_close=REJECT, reload=EXEC, base=0x300000
deregister	same_native_pfn_reused	PASS	dispatch=EXEC, gen1=1, gen2=2
deregister	different_guest_load_bases	PASS	old_base=0x111000, new_base=0x777000, old_gen=1, new_gen=2
deregister	aliases_one_native_address	FAIL	regA=1, regB=1, newest=EXEC, B_unmapped=1, after_unload_B=REJECT
deregister	alias_abi_conflict_rejected	PASS	first=1, incompatible_second=0
deregister	multiple_thunk_dsos	PASS	A_after=REJECT, B_after=EXEC
deregister	host_to_guest_callback	FAIL	before=EXEC, after_close=UAF
deregister	guest_to_host_dynamic_pfn	PASS	held_pfn=0x9000, first=EXEC, after_reload=EXEC
deregister	code_cache_stale_target	FAIL	compiled_before=EXEC, compiled_after_close=UAF
deregister	code_cache_reload_same_pfn	FAIL	old_unmapped=1, cached_after_reload=UAF, fresh=EXEC, new_base=0x600000
deregister	concurrent_unload_dispatch	FAIL	call=UAF, close_completed_while_paused=1, unmapped=1
deregister	invalidation_before_unmap	PASS	registry_invalidate>unmap
deregister	stale_entries_100_cycles	PASS	registry=0, callbacks=0, host_slots=0
deregister	metadata_growth_100_unique_pfns	PASS	registry=0, callbacks=0, host_slots=0
deregister	guest_mapping_residency_40_cycles	PASS	live_guest_mappings=0, close_requested_live=0, host_slots=0
bulk_owner	unload_reload	PASS	before=EXEC, after_close=REJECT, reload=EXEC, base=0x300000
bulk_owner	same_native_pfn_reused	PASS	dispatch=EXEC, gen1=1, gen2=2
bulk_owner	different_guest_load_bases	PASS	old_base=0x111000, new_base=0x777000, old_gen=1, new_gen=2
bulk_owner	aliases_one_native_address	PASS	regA=1, regB=1, newest=EXEC, B_unmapped=1, after_unload_B=EXEC
bulk_owner	alias_abi_conflict_rejected	PASS	first=1, incompatible_second=0
bulk_owner	multiple_thunk_dsos	PASS	A_after=REJECT, B_after=EXEC
bulk_owner	host_to_guest_callback	FAIL	before=EXEC, after_close=UAF
bulk_owner	guest_to_host_dynamic_pfn	PASS	held_pfn=0x9000, first=EXEC, after_reload=EXEC
bulk_owner	code_cache_stale_target	FAIL	compiled_before=EXEC, compiled_after_close=UAF
bulk_owner	code_cache_reload_same_pfn	FAIL	old_unmapped=1, cached_after_reload=UAF, fresh=EXEC, new_base=0x600000
bulk_owner	concurrent_unload_dispatch	FAIL	call=UAF, close_completed_while_paused=1, unmapped=1
bulk_owner	invalidation_before_unmap	PASS	registry_invalidate>unmap
