pattern,n,final,flags,reps,result,seconds,per_call
*(a|aa)b,14,c,32,3,1,0.000346443,0.000115481
*(a|aa)b,14,b,32,3,0,0.000012459,0.000004153
*(a)b,14,c,32,3,1,0.000014411,0.000004804
*(a|b)b,14,c,32,3,1,0.000017346,0.000005782
*(a|aa)b,14,c,0,3,1,0.000002033,0.000000678
*(a|aa)b,16,c,32,3,1,0.000906833,0.000302278
*(a|aa)b,16,b,32,3,0,0.000014442,0.000004814
*(a)b,16,c,32,3,1,0.000015373,0.000005124
*(a|b)b,16,c,32,3,1,0.000017456,0.000005819
*(a|aa)b,16,c,0,3,1,0.000002043,0.000000681
*(a|aa)b,18,c,32,3,1,0.002390550,0.000796850
*(a|aa)b,18,b,32,3,0,0.000015392,0.000005131
*(a)b,18,c,32,3,1,0.000100750,0.000033583
*(a|b)b,18,c,32,3,1,0.000123102,0.000041034
*(a|aa)b,18,c,0,3,1,0.000001271,0.000000424
*(a|aa)b,20,c,32,3,1,0.006354280,0.002118093
*(a|aa)b,20,b,32,3,0,0.000017125,0.000005708
*(a)b,20,c,32,3,1,0.000139737,0.000046579
*(a|b)b,20,c,32,3,1,0.000138234,0.000046078
*(a|aa)b,20,c,0,3,1,0.000001302,0.000000434
*(a|aa)b,22,c,32,3,1,0.016517330,0.005505777
*(a|aa)b,22,b,32,3,0,0.000016104,0.000005368
*(a)b,22,c,32,3,1,0.000020981,0.000006994
*(a|b)b,22,c,32,3,1,0.000025828,0.000008609
*(a|aa)b,22,c,0,3,1,0.000002193,0.000000731
*(a|aa)b,24,c,32,3,1,0.042942931,0.014314310
*(a|aa)b,24,b,32,3,0,0.000020621,0.000006874
*(a)b,24,c,32,3,1,0.000023114,0.000007705
*(a|b)b,24,c,32,3,1,0.000061952,0.000020651
*(a|aa)b,24,c,0,3,1,0.000001272,0.000000424
*(a|aa)b,26,c,32,3,1,0.116654035,0.038884678
*(a|aa)b,26,b,32,3,0,0.000024587,0.000008196
*(a)b,26,c,32,3,1,0.000027140,0.000009047
*(a|b)b,26,c,32,3,1,0.000032298,0.000010766
*(a|aa)b,26,c,0,3,1,0.000001272,0.000000424
*(a|aa)b,28,c,32,3,1,0.304946323,0.101648774
*(a|aa)b,28,b,32,3,0,0.000077134,0.000025711
*(a)b,28,c,32,3,1,0.000029203,0.000009734
*(a|b)b,28,c,32,3,1,0.000038127,0.000012709
*(a|aa)b,28,c,0,3,1,0.000001372,0.000000457
*(a|aa)b,30,c,32,1,1,0.260793039,0.260793039
*(a|aa)b,30,b,32,1,0,0.000026990,0.000026990
*(a)b,30,c,32,1,1,0.000025317,0.000025317
*(a|b)b,30,c,32,1,1,0.000027811,0.000027811
*(a|aa)b,30,c,0,1,1,0.000002073,0.000002073
*(a|aa)b,32,c,32,1,1,0.692437896,0.692437896
*(a|aa)b,32,b,32,1,0,0.000023495,0.000023495
*(a)b,32,c,32,1,1,0.000025759,0.000025759
*(a|b)b,32,c,32,1,1,0.000025939,0.000025939
*(a|aa)b,32,c,0,1,1,0.000003224,0.000003224
*(a|aa)b,34,c,32,1,1,1.795662035,1.795662035
*(a|aa)b,34,b,32,1,0,0.000024656,0.000024656
*(a)b,34,c,32,1,1,0.000026950,0.000026950
*(a|b)b,34,c,32,1,1,0.000030916,0.000030916
*(a|aa)b,34,c,0,1,1,0.000002114,0.000002114
