variant	deb_equal	unpacked_bytes_equal	control_equal	buildinfo_equal	buildinfo_equal_without_build_date	changes_equal	deb_sha256
baseline-a	yes	yes	yes	yes	yes	yes	f17ed57c41409123ca03804b96d3475094e2e82fca6967155581233e720d9afb
baseline-b	yes	yes	yes	no	yes	no	f17ed57c41409123ca03804b96d3475094e2e82fca6967155581233e720d9afb
hostname-env	yes	yes	yes	no	yes	no	f17ed57c41409123ca03804b96d3475094e2e82fca6967155581233e720d9afb
input-order	yes	yes	yes	no	yes	no	f17ed57c41409123ca03804b96d3475094e2e82fca6967155581233e720d9afb
locale-cutf8	yes	yes	yes	no	no	no	f17ed57c41409123ca03804b96d3475094e2e82fca6967155581233e720d9afb
parallel-4	yes	yes	yes	no	no	no	f17ed57c41409123ca03804b96d3475094e2e82fca6967155581233e720d9afb
path-long	yes	yes	yes	no	yes	no	f17ed57c41409123ca03804b96d3475094e2e82fca6967155581233e720d9afb
source-date-minus1d	no	yes	yes	no	no	no	fe485dca144bbef19c5ba03baba1e63677b0c89fbcc536a8fd0bf487b18a590f
timezone-au	yes	yes	yes	no	yes	no	f17ed57c41409123ca03804b96d3475094e2e82fca6967155581233e720d9afb
user-nobody	yes	yes	yes	no	yes	no	f17ed57c41409123ca03804b96d3475094e2e82fca6967155581233e720d9afb
